                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.1093,                0.63542,                 1.0753,                0.84227,                0.63345,                0.72157,                0.47898,                  1.086,                0.63567,                  1.208,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.0845,                0.62826,                 1.0603,                0.90898,                0.67221,                0.72122,                0.47869,                 1.0884,                0.61983,                 1.2134,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.0895,                0.63033,                 1.0704,                0.91095,                0.66856,                0.73657,                0.48958,                 1.0784,                0.61977,                 1.1954,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.0649,                0.61291,                 1.0703,                0.88446,                0.64807,                0.74599,                0.49532,                 1.0681,                0.62884,                 1.1975,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.0463,                0.59843,                 1.0632,                0.84205,                0.61986,                 0.7002,                0.46932,                 1.0826,                0.62191,                 1.2117,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.0819,                0.62696,                 1.0761,                0.86626,                0.66641,                0.73308,                 0.4761,                 1.1074,                0.62122,                 1.2159,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.0769,                0.62514,                 1.0706,                0.89807,                0.60887,                0.70107,                0.46632,                 1.0609,                0.63072,                 1.1935,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.0565,                0.60764,                 1.0637,                0.85804,                 0.6734,                0.72794,                0.49207,                 1.0649,                0.60807,                 1.2033,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.0651,                0.61027,                 1.0671,                0.92308,                 0.5955,                0.71237,                0.47756,                 1.0612,                0.60181,                 1.1863,             0.00021235,             0.00021235,             0.00021235
                     89,                  1.035,                0.58491,                 1.0581,                 0.8683,                0.63554,                0.71865,                0.47945,                 1.0701,                0.61688,                 1.1909,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.0625,                0.60678,                 1.0715,                0.92097,                0.63658,                0.71805,                0.48625,                 1.0718,                0.60898,                 1.1957,             0.00018406,             0.00018406,             0.00018406
                     91,                  1.034,                0.58906,                 1.0718,                0.83928,                0.68502,                0.72373,                0.48732,                 1.0525,                0.60551,                 1.1861,             0.00016991,             0.00016991,             0.00016991
                     92,                 1.0078,                0.56221,                 1.0641,                0.87959,                0.63467,                0.71526,                0.49374,                 1.0572,                0.60211,                 1.1857,             0.00015576,             0.00015576,             0.00015576
                     93,                 1.0119,                0.55401,                 1.0647,                0.93931,                0.60279,                0.71357,                0.48713,                 1.0438,                0.61305,                 1.1806,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.0024,                0.54394,                 1.0593,                0.77838,                 0.7054,                0.72283,                0.49717,                 1.0472,                0.60752,                 1.1797,             0.00012747,             0.00012747,             0.00012747
                     95,                 1.0034,                0.54578,                 1.0616,                0.81838,                0.64621,                0.72225,                0.47693,                 1.0597,                0.61467,                 1.1769,             0.00011332,             0.00011332,             0.00011332
                     96,                 1.0117,                0.54575,                 1.0413,                0.84937,                0.66856,                0.72905,                0.49312,                 1.0487,                0.61348,                 1.1753,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.0024,                0.54617,                 1.0489,                0.80702,                0.67413,                0.71076,                0.47669,                 1.0585,                0.61201,                 1.1863,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.98407,                0.52926,                 1.0579,                0.86044,                0.64312,                 0.7187,                0.48317,                 1.0443,                0.59945,                 1.1723,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.98541,                0.52511,                 1.0423,                0.77124,                0.68079,                0.71995,                0.49528,                 1.0504,                0.59734,                 1.1769,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 0.9992,                0.53586,                 1.0466,                0.86937,                0.64159,                 0.7002,                0.47048,                  1.062,                0.61334,                 1.1838,             4.2584e-05,             4.2584e-05,             4.2584e-05
